,PAHO Sub-Region,ISO-3,Country / territory,IFRC Sub-Region,Population,Tracker Update Date,Data Publication Date,EPI Week (year),EPI Week (outbreak),Cases
Suspected,Non Latin Caribbean,TTO,Trinidad and Tobago,Americas,1354483,17th May 2016,12th May 2016,19,34,0
Confirmed,Non Latin Caribbean,VIR,United States Virgin Islands,Americas,104170,17th May 2016,12th May 2016,19,34,21
Deaths,Non Latin Caribbean,VIR,United States Virgin Islands,Americas,104170,17th May 2016,12th May 2016,19,34,0
Suspected,Non Latin Caribbean,VIR,United States Virgin Islands,Americas,104170,17th May 2016,12th May 2016,19,34,0
Confirmed,Andean,VEN,Venezuela (Bolivarian Republic of),Americas,30693827,17th May 2016,12th May 2016,19,34,352
Deaths,Andean,VEN,Venezuela (Bolivarian Republic of),Americas,30693827,17th May 2016,12th May 2016,19,34,0
Suspected,Andean,VEN,Venezuela (Bolivarian Republic of),Americas,30693827,17th May 2016,12th May 2016,19,34,31224
Confirmed,South Cone,ARG,Argentina,Americas,42980026,25th May 2016,19th May 2016,20,35,2
Deaths,South Cone,ARG,Argentina,Americas,42980026,25th May 2016,19th May 2016,20,35,0
Suspected,South Cone,ARG,Argentina,Americas,42980026,25th May 2016,19th May 2016,20,35,0
Confirmed,Non Latin Caribbean,ABW,Aruba,Americas,103441,25th May 2016,19th May 2016,20,35,17
Deaths,Non Latin Caribbean,ABW,Aruba,Americas,103441,25th May 2016,19th May 2016,20,35,0
Suspected,Non Latin Caribbean,ABW,Aruba,Americas,103441,25th May 2016,19th May 2016,20,35,0
Confirmed,Non Latin Caribbean,BRB,Barbados,Americas,283380,25th May 2016,19th May 2016,20,35,7
Deaths,Non Latin Caribbean,BRB,Barbados,Americas,283380,25th May 2016,19th May 2016,20,35,0
Suspected,Non Latin Caribbean,BRB,Barbados,Americas,283380,25th May 2016,19th May 2016,20,35,316
Confirmed,Central America,BLZ,Belize,Americas,351706,25th May 2016,19th May 2016,20,35,1
Deaths,Central America,BLZ,Belize,Americas,351706,25th May 2016,19th May 2016,20,35,0
Suspected,Central America,BLZ,Belize,Americas,351706,25th May 2016,19th May 2016,20,35,0
Confirmed,Andean,BOL,Bolivia,Americas,10561887,25th May 2016,19th May 2016,20,35,12
Deaths,Andean,BOL,Bolivia,Americas,10561887,25th May 2016,19th May 2016,20,35,0
Suspected,Andean,BOL,Bolivia,Americas,10561887,25th May 2016,19th May 2016,20,35,0
Confirmed,Non Latin Caribbean,BES,Bonaire,Americas,17408,25th May 2016,19th May 2016,20,35,3
Deaths,Non Latin Caribbean,BES,Bonaire,Americas,17408,25th May 2016,19th May 2016,20,35,0
Suspected,Non Latin Caribbean,BES,Bonaire,Americas,17408,25th May 2016,19th May 2016,20,35,0
Confirmed,South Cone,BRA,Brazil,Americas,206077898,25th May 2016,19th May 2016,20,35,31616
Deaths,South Cone,BRA,Brazil,Americas,206077898,25th May 2016,19th May 2016,20,35,3
Suspected,South Cone,BRA,Brazil,Americas,206077898,25th May 2016,19th May 2016,20,35,88545
Confirmed,Andean,COL,Colombia,Americas,47791393,25th May 2016,19th May 2016,20,35,4867
Deaths,Andean,COL,Colombia,Americas,47791393,25th May 2016,19th May 2016,20,35,0
Suspected,Andean,COL,Colombia,Americas,47791393,25th May 2016,19th May 2016,20,35,75926
Confirmed,Central America,CRI,Costa Rica,Americas,4757606,25th May 2016,19th May 2016,20,35,32
Deaths,Central America,CRI,Costa Rica,Americas,4757606,25th May 2016,19th May 2016,20,35,0
Suspected,Central America,CRI,Costa Rica,Americas,4757606,25th May 2016,19th May 2016,20,35,319
Confirmed,Latin Caribbean,CUB,Cuba,Americas,11379111,25th May 2016,19th May 2016,20,35,1
Deaths,Latin Caribbean,CUB,Cuba,Americas,11379111,25th May 2016,19th May 2016,20,35,0
Suspected,Latin Caribbean,CUB,Cuba,Americas,11379111,25th May 2016,19th May 2016,20,35,0
Confirmed,Non Latin Caribbean,CUW,Curaçao,Americas,155872,25th May 2016,19th May 2016,20,35,73
Deaths,Non Latin Caribbean,CUW,Curaçao,Americas,155872,25th May 2016,19th May 2016,20,35,0
Suspected,Non Latin Caribbean,CUW,Curaçao,Americas,155872,25th May 2016,19th May 2016,20,35,0
Confirmed,Non Latin Caribbean,DMA,Dominica,Americas,72341,25th May 2016,19th May 2016,20,35,28
Deaths,Non Latin Caribbean,DMA,Dominica,Americas,72341,25th May 2016,19th May 2016,20,35,0
Suspected,Non Latin Caribbean,DMA,Dominica,Americas,72341,25th May 2016,19th May 2016,20,35,203
Confirmed,Latin Caribbean,DOM,Dominican Republic,Americas,10405943,25th May 2016,19th May 2016,20,35,73
Deaths,Latin Caribbean,DOM,Dominican Republic,Americas,10405943,25th May 2016,19th May 2016,20,35,0
Suspected,Latin Caribbean,DOM,Dominican Republic,Americas,10405943,25th May 2016,19th May 2016,20,35,2370
Confirmed,Andean,ECU,Ecuador,Americas,15902916,25th May 2016,19th May 2016,20,35,79
Deaths,Andean,ECU,Ecuador,Americas,15902916,25th May 2016,19th May 2016,20,35,0
Suspected,Andean,ECU,Ecuador,Americas,15902916,25th May 2016,19th May 2016,20,35,209
Confirmed,Central America,SLV,El Salvador,Americas,6107706,25th May 2016,19th May 2016,20,35,46
Deaths,Central America,SLV,El Salvador,Americas,6107706,25th May 2016,19th May 2016,20,35,0
Suspected,Central America,SLV,El Salvador,Americas,6107706,25th May 2016,19th May 2016,20,35,11198
Confirmed,Latin Caribbean,GUF,French Guiana,Americas,237549,25th May 2016,19th May 2016,20,35,483
Deaths,Latin Caribbean,GUF,French Guiana,Americas,237549,25th May 2016,19th May 2016,20,35,0
Suspected,Latin Caribbean,GUF,French Guiana,Americas,237549,25th May 2016,19th May 2016,20,35,5760
Confirmed,Non Latin Caribbean,GRD,Grenada,Americas,106349,25th May 2016,19th May 2016,20,35,1
Deaths,Non Latin Caribbean,GRD,Grenada,Americas,106349,25th May 2016,19th May 2016,20,35,0
Suspected,Non Latin Caribbean,GRD,Grenada,Americas,106349,25th May 2016,19th May 2016,20,35,0
Confirmed,Latin Caribbean,GLP,Guadeloupe,Americas,404635,25th May 2016,19th May 2016,20,35,379
Deaths,Latin Caribbean,GLP,Guadeloupe,Americas,404635,25th May 2016,19th May 2016,20,35,0
Suspected,Latin Caribbean,GLP,Guadeloupe,Americas,404635,25th May 2016,19th May 2016,20,35,3885
Confirmed,Central America,GTM,Guatemala,Americas,16015494,25th May 2016,19th May 2016,20,35,261
Deaths,Central America,GTM,Guatemala,Americas,16015494,25th May 2016,19th May 2016,20,35,0
Suspected,Central America,GTM,Guatemala,Americas,16015494,25th May 2016,19th May 2016,20,35,915
Confirmed,Non Latin Caribbean,GUY,Guyana,Americas,763893,25th May 2016,19th May 2016,20,35,6
Deaths,Non Latin Caribbean,GUY,Guyana,Americas,763893,25th May 2016,19th May 2016,20,35,0
Suspected,Non Latin Caribbean,GUY,Guyana,Americas,763893,25th May 2016,19th May 2016,20,35,0
Confirmed,Latin Caribbean,HTI,Haiti,Americas,10572029,25th May 2016,19th May 2016,20,35,5
Deaths,Latin Caribbean,HTI,Haiti,Americas,10572029,25th May 2016,19th May 2016,20,35,0
Suspected,Latin Caribbean,HTI,Haiti,Americas,10572029,25th May 2016,19th May 2016,20,35,1777
Confirmed,Central America,HND,Honduras,Americas,7961680,25th May 2016,19th May 2016,20,35,2
Deaths,Central America,HND,Honduras,Americas,7961680,25th May 2016,19th May 2016,20,35,2
Suspected,Central America,HND,Honduras,Americas,7961680,25th May 2016,19th May 2016,20,35,19868
Confirmed,Non Latin Caribbean,JAM,Jamaica,Americas,2721252,25th May 2016,19th May 2016,20,35,8
Deaths,Non Latin Caribbean,JAM,Jamaica,Americas,2721252,25th May 2016,19th May 2016,20,35,0
Suspected,Non Latin Caribbean,JAM,Jamaica,Americas,2721252,25th May 2016,19th May 2016,20,35,646
Confirmed,Latin Caribbean,MTQ,Martinique,Americas,392291,25th May 2016,19th May 2016,20,35,12
Deaths,Latin Caribbean,MTQ,Martinique,Americas,392291,25th May 2016,19th May 2016,20,35,0
Suspected,Latin Caribbean,MTQ,Martinique,Americas,392291,25th May 2016,19th May 2016,20,35,23860
Confirmed,North America,MEX,Mexico,Americas,125385833,25th May 2016,19th May 2016,20,35,288
Deaths,North America,MEX,Mexico,Americas,125385833,25th May 2016,19th May 2016,20,35,0
Suspected,North America,MEX,Mexico,Americas,125385833,25th May 2016,19th May 2016,20,35,0
Confirmed,Central America,NIC,Nicaragua,Americas,6013913,25th May 2016,19th May 2016,20,35,197
Deaths,Central America,NIC,Nicaragua,Americas,6013913,25th May 2016,19th May 2016,20,35,0
Suspected,Central America,NIC,Nicaragua,Americas,6013913,25th May 2016,19th May 2016,20,35,0
Confirmed,Central America,PAN,Panama,Americas,3867535,25th May 2016,19th May 2016,20,35,251
Deaths,Central America,PAN,Panama,Americas,3867535,25th May 2016,19th May 2016,20,35,0
Suspected,Central America,PAN,Panama,Americas,3867535,25th May 2016,19th May 2016,20,35,0
Confirmed,South Cone,PRY,Paraguay,Americas,6552518,25th May 2016,19th May 2016,20,35,7
Deaths,South Cone,PRY,Paraguay,Americas,6552518,25th May 2016,19th May 2016,20,35,0
Suspected,South Cone,PRY,Paraguay,Americas,6552518,25th May 2016,19th May 2016,20,35,102
Confirmed,Andean,PER,Peru,Americas,30973148,25th May 2016,19th May 2016,20,35,4
Deaths,Andean,PER,Peru,Americas,30973148,25th May 2016,19th May 2016,20,35,0
Suspected,Andean,PER,Peru,Americas,30973148,25th May 2016,19th May 2016,20,35,0
Confirmed,Latin Caribbean,PRI,Puerto Rico,Americas,3548397,25th May 2016,19th May 2016,20,35,707
Deaths,Latin Caribbean,PRI,Puerto Rico,Americas,3548397,25th May 2016,19th May 2016,20,35,1
Suspected,Latin Caribbean,PRI,Puerto Rico,Americas,3548397,25th May 2016,19th May 2016,20,35,0
Confirmed,Non Latin Caribbean,BLM,Saint Barthelemy,Americas,9035,25th May 2016,19th May 2016,20,35,1
Deaths,Non Latin Caribbean,BLM,Saint Barthelemy,Americas,9035,25th May 2016,19th May 2016,20,35,0
Suspected,Non Latin Caribbean,BLM,Saint Barthelemy,Americas,9035,25th May 2016,19th May 2016,20,35,10
Confirmed,Non Latin Caribbean,LCA,Saint Lucia,Americas,183645,25th May 2016,19th May 2016,20,35,2
Deaths,Non Latin Caribbean,LCA,Saint Lucia,Americas,183645,25th May 2016,19th May 2016,20,35,0
Suspected,Non Latin Caribbean,LCA,Saint Lucia,Americas,183645,25th May 2016,19th May 2016,20,35,0
Confirmed,Non Latin Caribbean,VCT,Saint Vincent and the Grenadines,Americas,109360,25th May 2016,19th May 2016,20,35,2
Deaths,Non Latin Caribbean,VCT,Saint Vincent and the Grenadines,Americas,109360,25th May 2016,19th May 2016,20,35,0
Suspected,Non Latin Caribbean,VCT,Saint Vincent and the Grenadines,Americas,109360,25th May 2016,19th May 2016,20,35,0
Confirmed,Latin Caribbean,MAF,Saint-Martin (French),Americas,31530,25th May 2016,19th May 2016,20,35,83
Deaths,Latin Caribbean,MAF,Saint-Martin (French),Americas,31530,25th May 2016,19th May 2016,20,35,0
Suspected,Latin Caribbean,MAF,Saint-Martin (French),Americas,31530,25th May 2016,19th May 2016,20,35,255
Confirmed,Non Latin Caribbean,SXM,Sint Maarten,Americas,33609,25th May 2016,19th May 2016,20,35,7
Deaths,Non Latin Caribbean,SXM,Sint Maarten,Americas,33609,25th May 2016,19th May 2016,20,35,0
Suspected,Non Latin Caribbean,SXM,Sint Maarten,Americas,33609,25th May 2016,19th May 2016,20,35,0
Confirmed,Non Latin Caribbean,SUR,Suriname,Americas,538248,25th May 2016,19th May 2016,20,35,527
Deaths,Non Latin Caribbean,SUR,Suriname,Americas,538248,25th May 2016,19th May 2016,20,35,4
Suspected,Non Latin Caribbean,SUR,Suriname,Americas,538248,25th May 2016,19th May 2016,20,35,2488
Confirmed,Non Latin Caribbean,TTO,Trinidad and Tobago,Americas,1354483,25th May 2016,19th May 2016,20,35,16
Deaths,Non Latin Caribbean,TTO,Trinidad and Tobago,Americas,1354483,25th May 2016,19th May 2016,20,35,0
Suspected,Non Latin Caribbean,TTO,Trinidad and Tobago,Americas,1354483,25th May 2016,19th May 2016,20,35,0
Confirmed,Non Latin Caribbean,VIR,United States Virgin Islands,Americas,104170,25th May 2016,19th May 2016,20,35,21
Deaths,Non Latin Caribbean,VIR,United States Virgin Islands,Americas,104170,25th May 2016,19th May 2016,20,35,0
Suspected,Non Latin Caribbean,VIR,United States Virgin Islands,Americas,104170,25th May 2016,19th May 2016,20,35,0
Confirmed,Andean,VEN,Venezuela (Bolivarian Republic of),Americas,30693827,25th May 2016,19th May 2016,20,35,352
Deaths,Andean,VEN,Venezuela (Bolivarian Republic of),Americas,30693827,25th May 2016,19th May 2016,20,35,0
Suspected,Andean,VEN,Venezuela (Bolivarian Republic of),Americas,30693827,25th May 2016,19th May 2016,20,35,31224
Confirmed,South Cone,ARG,Argentina,Americas,42980026,2nd June 2016,26th May 2016,21,36,12
Deaths,South Cone,ARG,Argentina,Americas,42980026,2nd June 2016,26th May 2016,21,36,0
Suspected,South Cone,ARG,Argentina,Americas,42980026,2nd June 2016,26th May 2016,21,36,1556
Confirmed,Non Latin Caribbean,ABW,Aruba,Americas,103441,2nd June 2016,26th May 2016,21,36,17
Deaths,Non Latin Caribbean,ABW,Aruba,Americas,103441,2nd June 2016,26th May 2016,21,36,0
Suspected,Non Latin Caribbean,ABW,Aruba,Americas,103441,2nd June 2016,26th May 2016,21,36,0
Confirmed,Non Latin Caribbean,BRB,Barbados,Americas,283380,2nd June 2016,26th May 2016,21,36,7
Deaths,Non Latin Caribbean,BRB,Barbados,Americas,283380,2nd June 2016,26th May 2016,21,36,0
Suspected,Non Latin Caribbean,BRB,Barbados,Americas,283380,2nd June 2016,26th May 2016,21,36,316
Confirmed,Central America,BLZ,Belize,Americas,351706,2nd June 2016,26th May 2016,21,36,2
Deaths,Central America,BLZ,Belize,Americas,351706,2nd June 2016,26th May 2016,21,36,0
Suspected,Central America,BLZ,Belize,Americas,351706,2nd June 2016,26th May 2016,21,36,0
Confirmed,Andean,BOL,Bolivia,Americas,10561887,2nd June 2016,26th May 2016,21,36,11
Deaths,Andean,BOL,Bolivia,Americas,10561887,2nd June 2016,26th May 2016,21,36,0
Suspected,Andean,BOL,Bolivia,Americas,10561887,2nd June 2016,26th May 2016,21,36,99
Confirmed,Non Latin Caribbean,BES,Bonaire,Americas,17408,2nd June 2016,26th May 2016,21,36,3
Deaths,Non Latin Caribbean,BES,Bonaire,Americas,17408,2nd June 2016,26th May 2016,21,36,0
Suspected,Non Latin Caribbean,BES,Bonaire,Americas,17408,2nd June 2016,26th May 2016,21,36,0
Confirmed,South Cone,BRA,Brazil,Americas,206077898,2nd June 2016,26th May 2016,21,36,31616
Deaths,South Cone,BRA,Brazil,Americas,206077898,2nd June 2016,26th May 2016,21,36,3
Suspected,South Cone,BRA,Brazil,Americas,206077898,2nd June 2016,26th May 2016,21,36,88545
Confirmed,Andean,COL,Colombia,Americas,47791393,2nd June 2016,26th May 2016,21,36,6259
Deaths,Andean,COL,Colombia,Americas,47791393,2nd June 2016,26th May 2016,21,36,0
Suspected,Andean,COL,Colombia,Americas,47791393,2nd June 2016,26th May 2016,21,36,77487
Confirmed,Central America,CRI,Costa Rica,Americas,4757606,2nd June 2016,26th May 2016,21,36,44
Deaths,Central America,CRI,Costa Rica,Americas,4757606,2nd June 2016,26th May 2016,21,36,0
Suspected,Central America,CRI,Costa Rica,Americas,4757606,2nd June 2016,26th May 2016,21,36,375
Confirmed,Latin Caribbean,CUB,Cuba,Americas,11379111,2nd June 2016,26th May 2016,21,36,1
Deaths,Latin Caribbean,CUB,Cuba,Americas,11379111,2nd June 2016,26th May 2016,21,36,0
Suspected,Latin Caribbean,CUB,Cuba,Americas,11379111,2nd June 2016,26th May 2016,21,36,0
Confirmed,Non Latin Caribbean,CUW,Curaçao,Americas,155872,2nd June 2016,26th May 2016,21,36,73
Deaths,Non Latin Caribbean,CUW,Curaçao,Americas,155872,2nd June 2016,26th May 2016,21,36,0
Suspected,Non Latin Caribbean,CUW,Curaçao,Americas,155872,2nd June 2016,26th May 2016,21,36,0
Confirmed,Non Latin Caribbean,DMA,Dominica,Americas,72341,2nd June 2016,26th May 2016,21,36,28
Deaths,Non Latin Caribbean,DMA,Dominica,Americas,72341,2nd June 2016,26th May 2016,21,36,0
Suspected,Non Latin Caribbean,DMA,Dominica,Americas,72341,2nd June 2016,26th May 2016,21,36,203
Confirmed,Latin Caribbean,DOM,Dominican Republic,Americas,10405943,2nd June 2016,26th May 2016,21,36,73
Deaths,Latin Caribbean,DOM,Dominican Republic,Americas,10405943,2nd June 2016,26th May 2016,21,36,0
Suspected,Latin Caribbean,DOM,Dominican Republic,Americas,10405943,2nd June 2016,26th May 2016,21,36,2370
Confirmed,Andean,ECU,Ecuador,Americas,15902916,2nd June 2016,26th May 2016,21,36,114
Deaths,Andean,ECU,Ecuador,Americas,15902916,2nd June 2016,26th May 2016,21,36,0
Suspected,Andean,ECU,Ecuador,Americas,15902916,2nd June 2016,26th May 2016,21,36,217
Confirmed,Central America,SLV,El Salvador,Americas,6107706,2nd June 2016,26th May 2016,21,36,46
Deaths,Central America,SLV,El Salvador,Americas,6107706,2nd June 2016,26th May 2016,21,36,0
Suspected,Central America,SLV,El Salvador,Americas,6107706,2nd June 2016,26th May 2016,21,36,11411
Confirmed,Latin Caribbean,GUF,French Guiana,Americas,237549,2nd June 2016,26th May 2016,21,36,483
Deaths,Latin Caribbean,GUF,French Guiana,Americas,237549,2nd June 2016,26th May 2016,21,36,0
Suspected,Latin Caribbean,GUF,French Guiana,Americas,237549,2nd June 2016,26th May 2016,21,36,6245
Confirmed,Non Latin Caribbean,GRD,Grenada,Americas,106349,2nd June 2016,26th May 2016,21,36,1
Deaths,Non Latin Caribbean,GRD,Grenada,Americas,106349,2nd June 2016,26th May 2016,21,36,0
Suspected,Non Latin Caribbean,GRD,Grenada,Americas,106349,2nd June 2016,26th May 2016,21,36,0
Confirmed,Latin Caribbean,GLP,Guadeloupe,Americas,404635,2nd June 2016,26th May 2016,21,36,379
Deaths,Latin Caribbean,GLP,Guadeloupe,Americas,404635,2nd June 2016,26th May 2016,21,36,0
Suspected,Latin Caribbean,GLP,Guadeloupe,Americas,404635,2nd June 2016,26th May 2016,21,36,5025
Confirmed,Central America,GTM,Guatemala,Americas,16015494,2nd June 2016,26th May 2016,21,36,261
Deaths,Central America,GTM,Guatemala,Americas,16015494,2nd June 2016,26th May 2016,21,36,0
Suspected,Central America,GTM,Guatemala,Americas,16015494,2nd June 2016,26th May 2016,21,36,915
Confirmed,Non Latin Caribbean,GUY,Guyana,Americas,763893,2nd June 2016,26th May 2016,21,36,6
Deaths,Non Latin Caribbean,GUY,Guyana,Americas,763893,2nd June 2016,26th May 2016,21,36,0
Suspected,Non Latin Caribbean,GUY,Guyana,Americas,763893,2nd June 2016,26th May 2016,21,36,0
Confirmed,Latin Caribbean,HTI,Haiti,Americas,10572029,2nd June 2016,26th May 2016,21,36,5
Deaths,Latin Caribbean,HTI,Haiti,Americas,10572029,2nd June 2016,26th May 2016,21,36,0
Suspected,Latin Caribbean,HTI,Haiti,Americas,10572029,2nd June 2016,26th May 2016,21,36,1777
Confirmed,Central America,HND,Honduras,Americas,7961680,2nd June 2016,26th May 2016,21,36,2
Deaths,Central America,HND,Honduras,Americas,7961680,2nd June 2016,26th May 2016,21,36,2
Suspected,Central America,HND,Honduras,Americas,7961680,2nd June 2016,26th May 2016,21,36,19868
Confirmed,Non Latin Caribbean,JAM,Jamaica,Americas,2721252,2nd June 2016,26th May 2016,21,36,8
Deaths,Non Latin Caribbean,JAM,Jamaica,Americas,2721252,2nd June 2016,26th May 2016,21,36,0
Suspected,Non Latin Caribbean,JAM,Jamaica,Americas,2721252,2nd June 2016,26th May 2016,21,36,646
Confirmed,Latin Caribbean,MTQ,Martinique,Americas,392291,2nd June 2016,26th May 2016,21,36,12
Deaths,Latin Caribbean,MTQ,Martinique,Americas,392291,2nd June 2016,26th May 2016,21,36,0
Suspected,Latin Caribbean,MTQ,Martinique,Americas,392291,2nd June 2016,26th May 2016,21,36,25610
Confirmed,North America,MEX,Mexico,Americas,125385833,2nd June 2016,26th May 2016,21,36,310
Deaths,North America,MEX,Mexico,Americas,125385833,2nd June 2016,26th May 2016,21,36,0
Suspected,North America,MEX,Mexico,Americas,125385833,2nd June 2016,26th May 2016,21,36,0
Confirmed,Central America,NIC,Nicaragua,Americas,6013913,2nd June 2016,26th May 2016,21,36,207
Deaths,Central America,NIC,Nicaragua,Americas,6013913,2nd June 2016,26th May 2016,21,36,0
Suspected,Central America,NIC,Nicaragua,Americas,6013913,2nd June 2016,26th May 2016,21,36,0
Confirmed,Central America,PAN,Panama,Americas,3867535,2nd June 2016,26th May 2016,21,36,274
Deaths,Central America,PAN,Panama,Americas,3867535,2nd June 2016,26th May 2016,21,36,0
Suspected,Central America,PAN,Panama,Americas,3867535,2nd June 2016,26th May 2016,21,36,0
Confirmed,South Cone,PRY,Paraguay,Americas,6552518,2nd June 2016,26th May 2016,21,36,8
Deaths,South Cone,PRY,Paraguay,Americas,6552518,2nd June 2016,26th May 2016,21,36,0
Suspected,South Cone,PRY,Paraguay,Americas,6552518,2nd June 2016,26th May 2016,21,36,273
Confirmed,Andean,PER,Peru,Americas,30973148,2nd June 2016,26th May 2016,21,36,4
Deaths,Andean,PER,Peru,Americas,30973148,2nd June 2016,26th May 2016,21,36,0
Suspected,Andean,PER,Peru,Americas,30973148,2nd June 2016,26th May 2016,21,36,0
Confirmed,Latin Caribbean,PRI,Puerto Rico,Americas,3548397,2nd June 2016,26th May 2016,21,36,1106
Deaths,Latin Caribbean,PRI,Puerto Rico,Americas,3548397,2nd June 2016,26th May 2016,21,36,1
Suspected,Latin Caribbean,PRI,Puerto Rico,Americas,3548397,2nd June 2016,26th May 2016,21,36,10032
Confirmed,Non Latin Caribbean,BLM,Saint Barthelemy,Americas,9035,2nd June 2016,26th May 2016,21,36,1
Deaths,Non Latin Caribbean,BLM,Saint Barthelemy,Americas,9035,2nd June 2016,26th May 2016,21,36,0
Suspected,Non Latin Caribbean,BLM,Saint Barthelemy,Americas,9035,2nd June 2016,26th May 2016,21,36,10
Confirmed,Non Latin Caribbean,LCA,Saint Lucia,Americas,183645,2nd June 2016,26th May 2016,21,36,2
Deaths,Non Latin Caribbean,LCA,Saint Lucia,Americas,183645,2nd June 2016,26th May 2016,21,36,0
Suspected,Non Latin Caribbean,LCA,Saint Lucia,Americas,183645,2nd June 2016,26th May 2016,21,36,0
Confirmed,Non Latin Caribbean,VCT,Saint Vincent and the Grenadines,Americas,109360,2nd June 2016,26th May 2016,21,36,2
Deaths,Non Latin Caribbean,VCT,Saint Vincent and the Grenadines,Americas,109360,2nd June 2016,26th May 2016,21,36,0
Suspected,Non Latin Caribbean,VCT,Saint Vincent and the Grenadines,Americas,109360,2nd June 2016,26th May 2016,21,36,0
Confirmed,Latin Caribbean,MAF,Saint-Martin (French),Americas,31530,2nd June 2016,26th May 2016,21,36,99
Deaths,Latin Caribbean,MAF,Saint-Martin (French),Americas,31530,2nd June 2016,26th May 2016,21,36,0
Suspected,Latin Caribbean,MAF,Saint-Martin (French),Americas,31530,2nd June 2016,26th May 2016,21,36,330
Confirmed,Non Latin Caribbean,SXM,Sint Maarten,Americas,33609,2nd June 2016,26th May 2016,21,36,7
Deaths,Non Latin Caribbean,SXM,Sint Maarten,Americas,33609,2nd June 2016,26th May 2016,21,36,0
Suspected,Non Latin Caribbean,SXM,Sint Maarten,Americas,33609,2nd June 2016,26th May 2016,21,36,0
Confirmed,Non Latin Caribbean,SUR,Suriname,Americas,538248,2nd June 2016,26th May 2016,21,36,527
Deaths,Non Latin Caribbean,SUR,Suriname,Americas,538248,2nd June 2016,26th May 2016,21,36,4
Suspected,Non Latin Caribbean,SUR,Suriname,Americas,538248,2nd June 2016,26th May 2016,21,36,2503
Confirmed,Non Latin Caribbean,TTO,Trinidad and Tobago,Americas,1354483,2nd June 2016,26th May 2016,21,36,16
Deaths,Non Latin Caribbean,TTO,Trinidad and Tobago,Americas,1354483,2nd June 2016,26th May 2016,21,36,0
Suspected,Non Latin Caribbean,TTO,Trinidad and Tobago,Americas,1354483,2nd June 2016,26th May 2016,21,36,0
Confirmed,Non Latin Caribbean,VIR,United States Virgin Islands,Americas,104170,2nd June 2016,26th May 2016,21,36,21
Deaths,Non Latin Caribbean,VIR,United States Virgin Islands,Americas,104170,2nd June 2016,26th May 2016,21,36,0
Suspected,Non Latin Caribbean,VIR,United States Virgin Islands,Americas,104170,2nd June 2016,26th May 2016,21,36,228
Confirmed,Andean,VEN,Venezuela (Bolivarian Republic of),Americas,30693827,2nd June 2016,26th May 2016,21,36,352
Deaths,Andean,VEN,Venezuela (Bolivarian Republic of),Americas,30693827,2nd June 2016,26th May 2016,21,36,0
Suspected,Andean,VEN,Venezuela (Bolivarian Republic of),Americas,30693827,2nd June 2016,26th May 2016,21,36,31224
Confirmed,South Cone,ARG,Argentina,Americas,42980026,7th June,2nd June 2016,22,37,19
Deaths,South Cone,ARG,Argentina,Americas,42980026,7th June,2nd June 2016,22,37,0
Suspected,South Cone,ARG,Argentina,Americas,42980026,7th June,2nd June 2016,22,37,1613
Confirmed,Non Latin Caribbean,ABW,Aruba,Americas,103441,7th June,2nd June 2016,22,37,17
Deaths,Non Latin Caribbean,ABW,Aruba,Americas,103441,7th June,2nd June 2016,22,37,0
Suspected,Non Latin Caribbean,ABW,Aruba,Americas,103441,7th June,2nd June 2016,22,37,0
Confirmed,Non Latin Caribbean,BRB,Barbados,Americas,283380,7th June,2nd June 2016,22,37,7
Deaths,Non Latin Caribbean,BRB,Barbados,Americas,283380,7th June,2nd June 2016,22,37,0
Suspected,Non Latin Caribbean,BRB,Barbados,Americas,283380,7th June,2nd June 2016,22,37,316
Confirmed,Central America,BLZ,Belize,Americas,351706,7th June,2nd June 2016,22,37,2
Deaths,Central America,BLZ,Belize,Americas,351706,7th June,2nd June 2016,22,37,0
Suspected,Central America,BLZ,Belize,Americas,351706,7th June,2nd June 2016,22,37,0
Confirmed,Andean,BOL,Bolivia,Americas,10561887,7th June,2nd June 2016,22,37,11
Deaths,Andean,BOL,Bolivia,Americas,10561887,7th June,2nd June 2016,22,37,0
Suspected,Andean,BOL,Bolivia,Americas,10561887,7th June,2nd June 2016,22,37,99
Confirmed,Non Latin Caribbean,BES,Bonaire,Americas,17408,7th June,2nd June 2016,22,37,3
Deaths,Non Latin Caribbean,BES,Bonaire,Americas,17408,7th June,2nd June 2016,22,37,0
Suspected,Non Latin Caribbean,BES,Bonaire,Americas,17408,7th June,2nd June 2016,22,37,0
Confirmed,South Cone,BRA,Brazil,Americas,206077898,7th June,2nd June 2016,22,37,39993
Deaths,South Cone,BRA,Brazil,Americas,206077898,7th June,2nd June 2016,22,37,3
Suspected,South Cone,BRA,Brazil,Americas,206077898,7th June,2nd June 2016,22,37,154270
Confirmed,Andean,COL,Colombia,Americas,47791393,7th June,2nd June 2016,22,37,6402
Deaths,Andean,COL,Colombia,Americas,47791393,7th June,2nd June 2016,22,37,0
Suspected,Andean,COL,Colombia,Americas,47791393,7th June,2nd June 2016,22,37,80953
Confirmed,Central America,CRI,Costa Rica,Americas,4757606,7th June,2nd June 2016,22,37,58
Deaths,Central America,CRI,Costa Rica,Americas,4757606,7th June,2nd June 2016,22,37,0
Suspected,Central America,CRI,Costa Rica,Americas,4757606,7th June,2nd June 2016,22,37,2090
Confirmed,Latin Caribbean,CUB,Cuba,Americas,11379111,7th June,2nd June 2016,22,37,1
